phase;date_clock;tsec;t0_loc;xloc;yloc;zloc;eigval_max;eigval_mid;eigval_min;eigvec_max_e;eigvec_max_n;eigvec_max_u;eigvec_mid_e;eigvec_mid_n;eigvec_mid_u;mom;fc_p;fc_s;rad;sd;mw;energy;src_nrcv;src_misfit;mom_sdev;fc_sdev;snr_loc;orthogonality;distance_rcv;noise_level_acc
1;23:04:19:16:06:39;230799.0;0.3527;335371.7;4263097.4;562.8;75.30;42.47;10.33;0.89099;-0.23454;-0.38874;0.24773;0.96869;-0.01664;1.3253e+07;42.8;113.8;15.17;1660.026;-1.252;4.0047e-01;8;0.2820;2.8972e+07;35.3;2.6;0.684;1505.0;2.2181e-06
1;23:04:19:16:07:02;230822.0;0.1793;335429.9;4263107.2;549.4;85.06;22.21;10.07;0.89211;-0.30427;-0.33401;0.31473;0.94888;-0.02378;1.9106e+06;138.9;117.7;6.58;2927.561;-1.813;1.0389e-01;7;0.2330;3.8522e+06;10.5;2.0;0.669;1477.9;2.4758e-06
1;23:04:19:16:07:53;230873.0;0.8469;335297.6;4263118.2;503.6;71.62;69.13;9.53;0.89880;-0.05422;-0.43499;0.09071;0.99385;0.06354;2.2245e+06;146.5;124.7;6.27;3950.873;-1.769;1.6299e-01;11;0.2987;2.6752e+06;10.9;3.6;0.676;1472.5;2.2389e-06
1;23:04:19:17:29:16;235756.0;0.7214;335410.5;4263027.3;603.3;76.77;62.90;10.95;0.96570;-0.09163;-0.24298;0.09430;0.99554;-0.00063;7.7430e+06;177.9;104.3;5.98;15827.753;-1.407;2.4189e+00;11;0.3317;2.3482e+06;36.8;4.9;0.901;1530.9;2.2696e-06
1;23:04:19:18:06:26;237986.0;0.2391;335384.0;4263118.4;549.7;67.99;47.51;9.57;0.84598;-0.37315;-0.38090;0.38123;0.92271;-0.05722;3.8386e+06;131.1;114.0;6.97;4968.246;-1.611;3.4715e-01;10;0.2844;1.4542e+06;8.5;3.8;0.744;1490.6;1.9842e-06
1;23:04:19:18:15:08;238508.0;0.6483;335332.5;4262991.3;566.3;67.34;13.12;9.56;0.91646;0.01056;-0.39998;-0.00483;0.99987;0.01534;3.4378e+06;116.1;152.2;6.73;4938.997;-1.642;3.0907e-01;11;0.3011;3.0025e+06;18.1;4.0;0.815;1515.8;2.0573e-06
1;23:04:19:18:30:58;239458.0;0.2054;335206.0;4263094.2;462.2;75.70;22.76;10.47;0.83884;-0.16867;-0.51758;0.18422;0.98265;-0.02166;2.8174e+06;119.3;97.9;7.90;2502.229;-1.700;1.2865e-01;10;0.2487;1.4927e+06;10.7;2.2;0.637;1465.2;2.1124e-06
1;24:04:19:05:03:13;277393.0;0.9063;335382.1;4263043.4;634.8;68.19;34.34;8.78;0.95572;-0.14920;-0.25367;0.15238;0.98830;-0.00720;3.3620e+06;133.1;103.6;6.95;4377.085;-1.649;2.9046e-01;10;0.2894;1.7654e+06;14.7;5.6;0.863;1568.8;2.1555e-06
2;25:04:19:17:42:22;409342.0;0.9807;335400.6;4263070.3;378.6;70.91;23.67;10.81;0.88777;-0.22384;-0.40219;0.23113;0.97243;-0.03102;3.3353e+06;97.0;79.3;9.64;1629.813;-1.651;1.0081e-01;10;0.3453;1.9420e+06;8.9;2.0;0.652;1318.7;3.0374e-06
2;25:04:19:17:42:26;409346.0;0.5366;335414.0;4263020.8;495.9;74.23;32.34;9.73;0.92720;-0.07265;-0.36746;0.07750;0.99699;-0.00156;4.5308e+06;105.3;83.1;9.05;2673.790;-1.563;2.2052e-01;10;0.3545;2.3029e+06;11.1;4.5;0.684;1425.8;1.8470e-06
2;26:04:19:11:00:34;471634.0;0.6117;335463.8;4263035.0;502.3;61.87;38.09;9.44;0.94074;-0.13138;-0.31266;0.13617;0.99066;-0.00659;4.0344e+06;107.7;147.0;7.09;4949.050;-1.596;3.7086e-01;11;0.3075;2.5994e+06;19.7;3.9;0.823;1420.4;2.9477e-06
2;26:04:19:11:02:13;471733.0;0.0932;335298.9;4263048.9;387.2;85.15;66.21;10.40;0.86923;-0.10593;-0.48293;0.11737;0.99307;-0.00656;2.9620e+06;121.6;117.3;7.23;3423.137;-1.686;1.8503e-01;11;0.2954;1.1059e+06;2.1;3.1;0.773;1358.5;2.4506e-06
2;26:04:19:11:03:07;471787.0;0.7224;335427.4;4263013.3;456.9;68.64;18.51;9.88;0.93112;-0.04645;-0.36173;0.05132;0.99867;0.00386;5.7584e+06;113.0;109.1;7.71;5488.020;-1.493;5.8028e-01;10;0.3195;1.6551e+06;1.9;4.7;0.828;1384.6;2.6130e-06
2;26:04:19:11:05:00;471900.0;0.2222;335390.6;4262973.2;340.6;93.80;36.99;15.34;0.89543;0.09899;-0.43406;-0.09210;0.99506;0.03693;2.6666e+06;105.3;128.0;7.66;2599.015;-1.716;1.2647e-01;10;0.2678;1.9486e+06;11.3;2.4;0.618;1283.2;2.1869e-06
2;26:04:19:11:06:02;471962.0;0.7653;335426.3;4262990.8;441.7;64.51;12.60;9.74;0.93020;0.04368;-0.36444;-0.03334;0.99884;0.03463;9.5958e+06;123.7;77.2;8.60;6593.616;-1.345;1.1618e+00;11;0.3097;2.1518e+07;23.3;7.1;0.768;1370.0;4.3538e-06
2;26:04:19:11:06:03;471963.0;0.4862;335383.2;4263150.1;373.2;72.41;22.63;9.67;0.81769;-0.36346;-0.44642;0.38280;0.92248;-0.04989;7.6714e+06;90.1;63.0;11.26;2350.677;-1.410;3.2908e-01;4;0.0427;4.7526e+07;12.8;2.3;0.488;1325.7;4.6880e-06
2;26:04:19:11:08:06;472086.0;0.5736;335448.6;4263011.0;440.5;69.36;33.16;9.97;0.93392;-0.04756;-0.35431;0.05163;0.99866;0.00203;2.6854e+06;95.5;148.4;7.73;2544.061;-1.714;1.2544e-01;8;0.2699;2.3079e+06;26.3;2.5;0.725;1363.3;2.1858e-06
2;26:04:19:11:11:01;472261.0;0.4240;335320.8;4263028.7;365.1;66.58;51.04;9.81;0.86725;-0.06443;-0.49368;0.07420;0.99724;0.00019;4.5529e+06;152.8;68.9;8.47;3273.588;-1.561;2.6669e-01;10;0.3413;1.8780e+06;42.0;4.3;0.773;1329.5;1.9579e-06
2;26:04:19:11:17:32;472652.0;0.0602;335422.5;4263021.8;474.8;71.11;25.52;9.84;0.92903;-0.07787;-0.36173;0.08263;0.99658;-0.00233;5.5785e+06;63.0;95.8;11.78;1491.641;-1.502;1.5279e-01;11;0.2696;5.7377e+06;16.4;3.6;0.829;1403.3;2.2580e-06
2;26:04:19:11:18:07;472687.0;0.8908;335356.4;4263125.3;394.7;71.55;27.23;9.66;0.84685;-0.27750;-0.45370;0.29741;0.95432;-0.02857;1.7835e+06;144.8;110.5;6.72;2567.845;-1.832;8.3574e-02;10;0.2964;1.0710e+06;17.1;2.3;0.711;1351.5;2.0377e-06
2;26:04:19:11:34:32;473672.0;0.2373;335521.3;4263057.9;471.2;75.98;39.89;10.03;0.92656;-0.24758;-0.28319;0.25311;0.96728;-0.01748;2.5441e+06;101.6;125.1;7.78;2363.346;-1.730;1.1168e-01;9;0.2480;3.3982e+06;11.7;2.3;0.744;1379.1;2.1282e-06
2;27:04:19:07:46:05;546365.0;0.1199;335459.3;4263018.3;461.7;60.08;23.54;9.60;0.93524;-0.07684;-0.34558;0.08102;0.99671;-0.00233;1.3969e+07;132.4;90.0;7.73;13252.769;-1.237;3.3698e+00;11;0.2929;5.1368e+06;21.2;8.5;0.814;1381.5;2.8247e-06
2;27:04:19:07:47:23;546443.0;0.1044;335444.5;4263072.9;396.6;61.13;56.89;9.67;0.91004;-0.18460;-0.37115;0.19810;0.98018;-0.00179;4.1941e+06;153.8;131.2;5.97;8639.477;-1.585;6.7196e-01;10;0.3098;1.3635e+06;11.3;4.0;0.599;1324.2;2.8461e-06
2;27:04:19:07:47:24;546444.0;0.4238;335392.9;4263038.1;434.5;62.48;48.69;9.56;0.91358;-0.10535;-0.39278;0.11307;0.99358;-0.00352;4.6569e+06;120.2;101.2;7.68;4506.199;-1.555;3.8916e-01;11;0.3088;3.6288e+06;9.5;3.2;0.758;1372.9;3.8732e-06
2;27:04:19:07:48:32;546512.0;0.6429;335420.7;4263068.1;443.0;95.34;77.95;11.67;0.90789;-0.19328;-0.37199;0.20349;0.97900;-0.01203;1.3293e+06;147.0;137.3;6.01;2679.993;-1.918;6.5412e-02;10;0.2307;1.3291e+06;4.8;2.1;0.724;1374.8;2.4886e-06
2;27:04:19:07:53:37;546817.0;0.7341;335379.2;4263037.9;385.9;79.44;70.67;10.13;0.89744;-0.08889;-0.43209;0.09905;0.99508;0.00102;2.1152e+06;147.6;108.8;6.71;3067.893;-1.783;1.1842e-01;10;0.2576;2.1081e+06;19.4;2.8;0.696;1330.4;2.1312e-06
2;27:04:19:11:19:29;559169.0;0.8660;335349.9;4263108.1;411.0;75.44;35.70;32.21;0.51962;-0.77240;-0.36523;0.25567;0.54846;-0.79613;1.5135e+07;119.6;126.6;7.09;18566.882;-1.213;5.1280e+00;11;0.3053;3.5329e+06;3.5;9.7;0.859;1367.4;3.5520e-06
2;27:04:19:11:20:10;559210.0;0.9910;335363.9;4263111.5;410.7;99.76;58.67;21.32;0.25613;-0.93449;-0.24725;0.86108;0.33680;-0.38093;1.4469e+07;120.0;100.2;7.72;13769.341;-1.226;3.6946e+00;11;0.3251;3.6145e+06;9.9;9.7;0.839;1363.1;2.8378e-06
2;27:04:19:11:20:50;559250.0;0.9746;335422.2;4263000.1;180.1;64.95;15.26;10.20;0.89785;-0.01442;-0.44006;0.02042;0.99975;0.00889;2.3252e+06;104.4;122.5;7.80;2144.157;-1.756;9.0791e-02;9;0.2450;3.0179e+06;9.0;2.9;0.739;1120.8;2.3472e-06
2;27:04:19:11:22:35;559355.0;0.6675;335366.7;4263056.2;468.8;45.85;25.71;20.46;0.72948;-0.53686;-0.42385;0.35004;-0.23936;0.90564;3.4573e+06;131.6;107.2;7.12;4192.100;-1.641;2.6612e-01;11;0.3283;2.0406e+06;12.2;5.7;0.794;1413.9;2.4457e-06
2;27:04:19:11:24:09;559449.0;0.0334;335353.0;4263093.4;410.8;72.83;48.36;9.87;0.88046;-0.20743;-0.42634;0.22367;0.97459;-0.01227;3.5689e+06;77.9;96.1;10.20;1472.834;-1.632;9.7479e-02;10;0.2965;7.0402e+06;9.1;3.0;0.750;1365.1;2.1597e-06
2;27:04:19:11:24:38;559478.0;0.9295;335294.5;4263002.0;371.5;210.98;76.81;68.84;-0.81106;-0.12350;0.57178;0.01524;-0.98159;-0.19039;2.1215e+06;156.9;129.7;6.03;4239.932;-1.782;1.6095e-01;11;0.2811;1.2698e+06;13.6;2.6;0.695;1344.3;2.0766e-06
