Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#82;82;38.47369704111744;-112.86786707486849;0.4322599022354609;S3;0.780615;2022-04-16 00:13:40;S0;0.788191;2022-04-16 00:13:40;
#83;83;38.47309848874599;-112.86930697964557;0.4183401245290544;S3;0.76665;2022-04-16 00:13:50;S0;0.774417;2022-04-16 00:13:50;
#84;84;38.47158777864945;-112.87105080849189;0.491563047281032;S3;0.745794;2022-04-16 00:14:00;S0;0.753613;2022-04-16 00:14:00;
#85;85;38.47150327826485;-112.86963470982757;0.7995395221308129;S3;0.733218;2022-04-16 00:14:10;S0;0.740907;2022-04-16 00:14:10;
#86;86;38.47090734251252;-112.87180918207461;0.5453079219136816;S3;0.729875;2022-04-16 00:14:20;S0;0.737981;2022-04-16 00:14:20;
#87;87;38.47059490282682;-112.8719316044044;0.6472004473258554;S3;0.720374;2022-04-16 00:14:30;S0;0.728265;2022-04-16 00:14:30;
#88;88;38.47050794065804;-112.8715589230297;0.5241451748382984;S3;0.730136;2022-04-16 00:14:40;S0;0.738444;2022-04-16 00:14:40;
#89;89;38.47385013298242;-112.86796352115559;0.43079514329342217;S3;0.781607;2022-04-16 00:14:50;S0;0.789156;2022-04-16 00:14:50;
#90;90;38.4705099389191;-112.87169068683443;0.6267762979407069;S3;0.721646;2022-04-16 00:15:00;S0;0.729651;2022-04-16 00:15:00;
#91;91;38.470502052383026;-112.87038228903678;0.43333719322813863;S3;0.752752;2022-04-16 00:15:10;S0;0.760855;2022-04-16 00:15:10;
#92;92;38.47015643492998;-112.87046417872962;0.4951929938990241;S3;0.741392;2022-04-16 00:15:20;S0;0.749744;2022-04-16 00:15:20;
#93;93;38.473484079346264;-112.86890186808331;0.3669168990887305;S3;0.77358;2022-04-16 00:15:30;S0;0.781456;2022-04-16 00:15:30;
#94;94;38.47363354190372;-112.86873300416185;0.3279157452850228;S3;0.777745;2022-04-16 00:15:40;S0;0.785674;2022-04-16 00:15:40;
#95;95;38.473691700782815;-112.86846634368717;0.556147906798599;S3;0.761453;2022-04-16 00:15:50;S0;0.769435;2022-04-16 00:15:50;
#96;96;38.470948408056955;-112.87081732419203;0.4263709660431008;S3;0.744178;2022-04-16 00:16:00;S0;0.752536;2022-04-16 00:16:00;
#97;97;38.4735837619744;-112.86918937741153;0.37095086038813635;S3;0.773585;2022-04-16 00:16:10;S0;0.781396;2022-04-16 00:16:10;
#98;98;38.470962046042594;-112.87078318346326;0.4320851419020439;S3;0.75129;2022-04-16 00:16:20;S0;0.759318;2022-04-16 00:16:20;
#99;99;38.47071862366519;-112.87061984333921;0.3880906411655711;S3;0.750629;2022-04-16 00:16:30;S0;0.758991;2022-04-16 00:16:30;
